date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:58	67/67	---MC-	200	added ('OK')	text/plain	date:Tue,%2016%20May%202023%2010:50:58%20GMT	http://wpdemo.archiwp.com/robots.txt		(from )
10:51:01	277399/277399	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2010:03:05%20GMT	http://wpdemo.archiwp.com/engitech/	D:/web/wpdemo.archiwp.com/engitech/index.html	(from )
10:51:03	23442/23442	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2008%20Mar%202022%2004:22:22%20GMT	https://wpdemo.archiwp.com/engitech/wp-content/themes/engitech/fonts/Flaticon.eot	D:/web/wpdemo.archiwp.com/engitech/wp-content/themes/engitech/fonts/Flaticon.eot	(from http://wpdemo.archiwp.com/engitech/)
10:51:04	97517/97517	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2007:07:52%20GMT	http://wpdemo.archiwp.com/engitech/wp-includes/css/dist/block-library/style.min.css?ver=6.2	D:/web/wpdemo.archiwp.com/engitech/wp-includes/css/dist/block-library/style.minae48.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:05	10435/10435	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2007:20:08%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=1681284008	D:/web/wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style77f9.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:05	2325/2325	---MC-	200	added ('OK')	application/rss+xml	date:Mon,%2015%20May%202023%2003:00:44%20GMT	http://wpdemo.archiwp.com/engitech/comments/feed/	D:/web/wpdemo.archiwp.com/engitech/comments/feed/index.html	(from http://wpdemo.archiwp.com/engitech/)
10:51:08	258675/258675	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2007:20:08%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=1681284008	D:/web/wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style77f9.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:10	291/291	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2007:07:52%20GMT	http://wpdemo.archiwp.com/engitech/wp-includes/css/classic-themes.min.css?ver=6.2	D:/web/wpdemo.archiwp.com/engitech/wp-includes/css/classic-themes.minae48.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:10	83/83	---M--	409	error ('Conflict')	text/html	date:Tue,%2016%20May%202023%2010:51:09%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=1681284008	D:/web/wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/contact-form-7/includes/css/styles77f9.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:10	38115/38115	---MC-	200	added ('OK')	application/rss+xml	date:Mon,%2015%20May%202023%2003:00:44%20GMT	http://wpdemo.archiwp.com/engitech/feed/	D:/web/wpdemo.archiwp.com/engitech/feed/index.html	(from http://wpdemo.archiwp.com/engitech/)
10:51:11	6671/6671	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2007:20:08%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/oceanthemes-toolbar/plugin.css?ver=1681284008	D:/web/wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/oceanthemes-toolbar/plugin77f9.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:11	17572/17572	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2007:20:08%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=1681284008	D:/web/wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/woocommerce/assets/css/woocommerce-layout77f9.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:12	7043/7043	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2007:20:08%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=1681284008	D:/web/wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen77f9.css	(from http://wpdemo.archiwp.com/engitech/)
10:51:13	75725/75725	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2007:20:08%20GMT	http://wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=1681284008	D:/web/wpdemo.archiwp.com/engitech/wp-content/cache/min/4/engitech/wp-content/plugins/woocommerce/assets/css/woocommerce77f9.css	(from http://wpdemo.archiwp.com/engitech/)
